Age (Ma),GMST_degC
4.794,3.2952469370516613
4.793,3.2770042162822954
4.792,3.2540466468911626
4.791,3.220645528252287
4.79,3.309618560798095
4.789,3.2803994567206085
4.788,3.2887784671932296
4.787,3.267953993827215
4.786,3.2092407546860717
4.785,3.155784788505583
4.784,3.102995690447238
4.783,3.050026973533493
4.782,2.9949281456570676
4.781,3.055045771156425
4.78,3.5062229237916314
4.779,3.1887332856076913
4.778,3.2817819489102256
4.777,3.2613000886198678
4.776,3.5086054829623343
4.775,3.5404985953695967
4.774,3.572322626609217
4.773,3.607025553091023
4.772,3.639137016813153
4.771,3.6750341777275946
4.77,3.7163535978091966
4.769,3.746927928568116
4.768,3.7527056634428746
4.767,3.644259743157844
4.766,3.568916207285793
4.765,3.4838701941931927
4.764,3.3891053328352676
4.763,3.2768525062641736
4.762,3.163658037532248
4.761,3.034787115065887
4.76,2.926900718289019
4.759,2.854879031943269
4.758,2.8094442078731485
4.757,3.7603270197354375
4.756,3.0872429145841926
4.755,3.2103527893079855
4.754,3.3674066294053393
4.753,3.40237377130767
4.752,3.450403069829316
4.751,3.4758731865916874
4.75,3.73237387953775
4.749,3.899561954614517
4.748,4.044738010409331
4.747,3.988455201732066
4.746,3.9082787027536656
4.745,3.830919786419201
4.744,3.7531344513958578
4.743,3.7058507728620436
4.742,3.892893759247265
4.741,3.6313366555546107
4.74,3.752742644635614
4.739,4.193918786974516
4.738,3.7126144710544735
4.737,3.741040157014198
4.736,3.8023050210521148
4.735,4.092043907907015
4.734,3.924687712547941
4.733,3.9857999038279495
4.732,4.06758004321461
4.731,4.042779047714422
4.73,4.065523565021823
4.729,3.9685429355431925
4.728,3.876170558711126
4.727,3.898151381910814
4.726,3.8092556299613225
4.725,3.7952558257007913
4.724,3.7604444925996026
4.723,3.674090626610946
4.722,3.578174986072681
4.721,3.563306851570762
4.72,3.534153489385245
4.719,3.3585360065481376
4.718,3.346428913783601
4.717,3.3751507137119954
4.716,3.4038177068251594
4.715,3.62547923929977
4.714,3.615202220036641
4.713,3.6246370446065654
4.712,3.886126632367616
4.711,3.6401360710259167
4.71,3.6689316186898226
4.709,3.632466513383186
4.708,3.5959095268229557
4.707,3.559260660107784
4.706,3.515941761290252
4.705,3.5255353643851985
4.704,3.4681701758545476
4.703,3.4497112664833987
4.702,3.500446133434166
4.701,3.337324047935833
4.7,3.267499024214994
4.699,3.250704117616457
4.698,2.9229196167111864
4.697,3.2652119807367246
4.696,3.3721071410630077
4.695,3.489304397840192
4.694,3.5946159641248947
4.693,3.6954159775215
4.692,3.765044240829488
4.691,3.895744433598108
4.69,4.337982419082683
4.689,4.070431090118209
4.688,4.100006537873837
4.687,3.9626084889209414
4.686,3.8727859286059294
4.685,3.7823845050084604
4.684,3.691404219949232
4.683,3.6125225834342505
4.682,3.609160040748239
4.681,3.584227458555699
4.68,3.559252240326286
4.679,3.5618767572713605
4.678,3.564500804112687
4.677,3.8295113108317724
4.676,3.6573035319455016
4.675,3.710530883738869
4.674,4.137683250501696
4.673,3.787564781320692
4.672,3.7904851454196473
4.671,3.807096666335292
4.67,3.8450409994168773
4.669,3.681126971370865
4.668,3.60647948001973
4.667,3.4994015312716895
4.666,3.4412096307274656
4.665,3.4184703481728507
4.664,3.434123008163412
4.663,3.455397109131176
4.662,3.526354115066341
4.661,3.2311514573058577
4.66,3.6558299649049015
4.659,3.710857075548039
4.658,3.702847253730714
4.657,3.872173398965828
4.656,3.9012406482919895
4.655,3.956275858073708
4.654,4.042411313002375
4.653,3.970731948341661
4.652,4.009958871101422
4.651,3.985896917104286
4.65,4.010367540891913
4.649,4.022709299973123
4.648,3.950587675964362
4.647,4.558150462417089
4.646,4.013147836796522
4.645,4.040812793300561
4.644,3.9831919197579104
4.643,4.0291261957463735
4.642,4.074907143454765
4.641,3.957659994819072
4.64,3.8780356685138098
4.639,3.9965788002435074
4.638,4.017843547337073
4.637,4.039075431509227
4.636,4.054557059922966
4.635,4.087945761316349
4.634,4.105672755648107
4.633,4.1233766102107845
4.632,4.095578002818023
4.631,4.017907581060809
4.63,3.995485995040946
4.629,3.5894618947379775
4.628,3.81883069385716
4.627,3.733443004262437
4.626,3.6475426181916544
4.625,3.791033135063488
4.624,4.055809137358209
4.623,3.3620604257717157
4.622,3.232262257804977
4.621,3.3234533457644813
4.62,3.1816275918628194
4.619,3.2420468115092143
4.618,3.305520682881989
4.617,3.341857921527626
4.616,3.384207400841381
4.615,3.399668911454028
4.614,3.732162362447033
4.613,3.636490051363889
4.612,3.656914221584082
4.611,3.699934979291381
4.61,3.74212861862217
4.609,3.771351456503329
4.608,3.8045224183396558
4.607,3.8482763876181907
4.606,4.056845160296733
4.605,4.0344832810341735
4.604,3.978969470622748
4.603,3.9753445216530743
4.602,4.127120645517826
4.601,3.5596360747416123
4.6,3.3628920212686157
4.599,3.4388750734571927
4.598,3.385922619829822
4.597,3.4428767705065195
4.596,3.499613867122406
4.595,3.7073002785755516
4.594,3.7796113755294387
4.593,3.568986495571594
4.592,3.909724842265734
4.591,3.9844611533700682
4.59,3.918633711974103
4.589,3.798752846444594
4.588,3.9127827644094633
4.587,4.009452631017333
4.586,4.112344574744681
4.585,4.122261296085368
4.584,4.161626451326538
4.583,4.154608172289995
4.582,4.109663123780189
4.581,4.064568541361111
4.58,3.9275441612500037
4.579,4.497247505635625
4.578,3.9364104739536763
4.577,3.951675185379322
4.576,3.8419233315218237
4.575,3.979894890531132
4.574,4.20835806857712
4.573,3.99794922673526
4.572,3.9959272519483955
4.571,4.014150064648008
4.57,4.0094218758980755
4.569,4.012464333212102
4.568,4.055098504319293
4.567,4.043914404505331
4.566,4.053067608378174
4.565,3.742189903775878
4.564,3.8828306826570382
4.563,3.71109779408708
4.562,3.902197135402548
4.561,3.991477282786275
4.56,3.8242154466165243
4.559,3.8654519469047006
4.558,3.951087457467447
4.557,4.238182356506587
4.556,4.004492614208566
4.555,4.0057395826976965
4.554,4.003119667498228
4.553,3.9826659391484
4.552,3.952827600301386
4.551,3.9222168425604047
4.55,3.872187651355151
4.549,3.8110282244986564
4.548,3.7545197858494985
4.547,3.763765112138569
4.546,3.6491054477164533
4.545,3.544909085329677
4.544,3.5861440506307116
